Website,Headline,URL,Media Type,Media Link,Alt Text,Caption Text
NYT,"Indicting Roger Stone, Mueller Shows Link Between Trump Campaign and WikiLeaks",https://www.nytimes.com/2019/01/25/us/politics/roger-stone-trump-mueller.html,VIDEO,https://static01.nyt.com/images/2019/01/26/us/politics/26dc-stone-print/26dc-stone1-videoSixteenByNine3000.jpg,,"Roger J. Stone Jr., a longtime Trump adviser, has been charged as part of the investigation by the special counsel, Robert S. Mueller III. He was arrested in a pre-dawn F.B.I. raid in Fort Lauderdale, Fla., and appeared in court on Friday."
FOX,"Congress rejects Obama veto of 9/11 bill, in first override of presidency",http://www.foxnews.com/politics/2016/09/29/congress-rejects-obama-veto-911-bill-in-first-override-presidency.html,VIDEO,https://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2016/09/28/931/524/694940094001_5145750545001_Legal--political-fallout-from-veto-override-of-911-bill.jpg?ve=1&tl=1,,Insight from the Wall Street Journal's John Bussey and Fox News senior judicial analyst Judge Andrew Napolitano
NYT,Senate Set to Override Veto on Bill Allowing 9/11 Suits Against Saudi Arabia,https://mobile.nytimes.com/2016/09/29/us/politics/senate-9-11-saudi-arabia.html,IMAGE,https://static01.nyt.com/images/2016/09/28/us/28fdnl-pelosi/28fdnl-pelosi-articleLarge.jpg?quality=75&auto=webp&disable=upscale,,"Representative Nancy Pelosi of California, who plans to support a veto override effort, tried on Tuesday to play down any split between Democrats and Mr. Obama."
FOX,"Trump warns shutdown could last 'years,' says he may declare 'national emergency' to build border wall",https://www.foxnews.com/politics/congressional-leaders-meet-at-white-house-as-shutdown-stances-harden,VIDEO,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/340/340/i-8dn8554-xl.jpg?ve=1&tl=1,,President Trump says discussions will continue about funding for border security after meeting with congressional leaders at the White House.
NYT,Trump says he could keep shutdown going for months or years,https://www.nytimes.com/2019/01/02/us/politics/trump-congress-shutdown.html,VIDEO,https://static01.nyt.com/images/2019/01/03/us/politics/03dc-shutdown1-sub/03dc-shutdown1-sub-videoSixteenByNine3000.jpg,,"Congressional leaders, including Representative Nancy Pelosi and Senator Chuck Schumer, met with President Trump to discuss border security. Ms. Pelosi said Democrats will put forth legislation to end the shutdown."
FOX,Trump gets into Twitter feud with former Mexican president,http://www.foxnews.com/politics/2016/08/31/trump-gets-into-twitter-feud-with-former-mexican-president.html,VIDEO,https://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2016/08/31/931/524/694940094001_5106571880001_0b4bc2b6-db26-483b-b728-d7627b2ac61d.jpg?ve=1&tl=1,,Strategy Room: Chuck Rocha and Marjorie Dannenfelser discuss Donald Trump's meeting with the President of Mexico today and how it might affect his speech tonight in Arizona 
NYT,"Vicente Fox, Ex-President of Mexico, Scoffs at Donald Trump’s Visit",https://mobile.nytimes.com/2016/09/01/us/politics/vicente-fox-mexico.html,IMAGE,https://static01.nyt.com/images/2016/09/01/us/01fd-fox/01fd-fox-articleInline.jpg?quality=75&auto=webp&disable=upscale,,Former President Vicente Fox met with international reporters at a Mexico City hotel in September 2014.
FOX,Joe Lieberman emerges as Trump's top choice for FBI director,https://www.foxnews.com/politics/joe-lieberman-emerges-as-trumps-top-choice-for-fbi-director,VIDEO,http://video.foxnews.com/v/5438251787001,"Joe Lieberman a bipartisan pick for FBI director?", "Joe Lieberman a bipartisan pick for FBI director? Radio hosts Leslie Marshall and Chris Plante react"
NYT,"Lieberman Is a Finalist for F.B.I. Director, Trump Says",https://mobile.nytimes.com/2017/05/18/us/politics/trump-fbi-director-lieberman.html,IMAGE,https://static01.nyt.com/images/2017/05/19/us/19fbi/19fbi-articleInline.jpg?quality=75&auto=webp&disable=upscale,,"Joseph I. Lieberman, the former Democratic senator and vice-presidential nominee, left the White House on Wednesday."
FOX,Trump: Roy Moore will 'step aside' if sexual misconduct allegations are true,http://www.foxnews.com/politics/2017/11/09/trump-roy-moore-will-step-aside-if-sexual-misconduct-allegations-are-true.html,VIDEO,https://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2017/11/10/931/524/694940094001_5641676354001_5641670753001-vs.jpg?ve=1&tl=1,,"Griff Jenkins reports from Washington, D.C."
NYT,Alabama Republicans Defend Roy Moore: ‘It Was 40 Years Ago’,https://mobile.nytimes.com/2017/11/10/us/politics/roy-moore-alabama-republicans.html,IMAGE,https://static01.nyt.com/images/2017/11/11/us/11xp-moore/11xp-moore-articleLarge.jpg?quality=75&auto=webp&disable=upscale,,"Roy S. Moore, the Republican nominee for Senate in Alabama, was accused of making sexual advances toward teenage girls. A state official said that the women’s claims were “much ado about nothing” and that Mr. Moore had done nothing “immoral or illegal.”"
FOX,"Trump declares emergency on border, eyes $8B for wall as he signs spending package",https://www.foxnews.com/politics/trump-eyes-8b-border-wall-funding-emergency-declaration,VIDEO,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/10/340/340/img_2751-54438.jpg?ve=1&tl=1,,Trump says he will be signing a national emergency declaration to confront the crisis at the southern border.
NYT,"Trump Declares a National Emergency, and Provokes a Constitutional Clash",https://www.nytimes.com/2019/02/15/us/politics/national-emergency-trump.html,VIDEO,https://static01.nyt.com/images/2019/02/16/us/politics/16dc-trump-vid2/16dc-trump-vid2-videoSixteenByNine3000-v3.jpg,,"After declaring a national emergency to build a border wall, President Trump said “I want to get it done faster, that’s all.” The move bypasses Congress."
FOX,"IRS official who refused to testify facing more scrutiny over scandal, past",http://www.foxnews.com/politics/2013/05/23/irs-official-who-refused-to-testify-facing-more-scrutiny-over-scandal-past/,VIDEO,https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2018/09/340/340/doug-mckelway.png?ve=1&tl=1,,Doug McKelway reports
